Date,Year,Type,Country,Area,Location,Activity,Sex ,Injury,Fatal (Y/N),Species ,Age_clean
1968-07-16,1968.0,Unprovoked,USA,South Carolina,"Stono Inlet, near Charleston, Charleston County",Spearfishing using Scuba,M,Swimfin & knee bitten,N,4M [13'] SHARK,33.0
1968-07-10,1968.0,Unprovoked,BAHAMAS,Great Exuma Island,Children's Bay Cay near Rollerville,Small boat with 2 men onboard hit a submerged coral formation. Men began swimming to shore,M,"FATAL, taken by shark",Y,UNKNOW,28.0
1968-02-26,1968.0,Unprovoked,USA,Florida,Palm Beach County,Surfing,M,Foot lacerated,N,UNKNOW,17.0
1967-09-07,1967.0,Provoked,PAPUA NEW GUINEA,New Ireland Province,Unknow,Diving,M,"No details, listed as PROVOKED INCIDENT",UNKNOWN,UNKNOW,28.0
1966-09-13,1966.0,Provoked,AUSTRALIA,Western Australia,Albany,Spearfishing,M,Involved a speared shark but no other details PROVOKED INCIDENT,UNKNOWN,UNKNOW,28.0
1966-05-16,1966.0,Invalid,USA,Florida,"Fernandina Beach, Nassau County",Spearfishing / Scuba diving,M,"White shark, 3.7 m [12']  made threat display. No injury, no attack",UNKNOWN,INVALID,24.0
1965-10-16,1965.0,Unprovoked,BAHAMAS,New Providence Island,Nassau,Playing in the water,F,FATAL,Y,"1.8 M [6'], 180-LB SHARK",28.0
1965-04-25,1965.0,Invalid,USA,California,"Pacifica, San Mateo County",Surfing,M,Drowned & his body was not recovered. Sharks seen in area later that day but no shark involvement in surfer's death,UNKNOWN,INVALID,19.0
1964-12-06,1964.0,Unprovoked,KENYA,Coast Province,"Kilindini Harbor, Mombasa",Fishing with hand line tied to wrist & was pulled into the water,M,FATAL,Y,UNKNOW,10.0
1964-10-31,1964.0,Provoked,SOUTH AFRICA,KwaZulu-Natal,Umkomaas,Surf fishing,M,Right leg bitten  while attempting to gaff hooked shark PROVOKED INCIDENT,N,UNKNOW,28.0
1963-11-12,1963.0,Provoked,USA,Florida,"8 miles south of Elliot Key, Miami-Dade County",Testing anti-shark cage,M,No injury PROVOKED INCIDENT,N,"SILKY SHARK, 1.9 M [6.5']",28.0
1963-01-04,1963.0,Provoked,AUSTRALIA,South Australia,Off Franklin Island between Streaky Bay & Ceduna,Shark fishing,M,No injury to occupants; hooked shark slammed into side of boat PROVOKED INCIDENT,N,"WHITE SHARK, 16', 2,312-LB",28.0
1962-01-14,1962.0,Unprovoked,USA,California,Farallon Islands,Spearfishing / Scuba diving (at surface),M,Buttock bitten & major leg wound,N,"WHITE SHARK, 4 M [13']",29.0
1962-01-06,1962.0,Watercraft,SOUTH AFRICA,Western Cape Province,6 km off Groot Brak River,Fishing,M,Shark rammed boat 5 times & holed it,N,UNKNOW,28.0
1961-08-02,1961.0,Unprovoked,USA,Hawaii,"Pearl Harbor Channel, O'ahu","Net fishing, picking catch from the net",M,Hand bitten,N,2.4 M [8'] SHARK,38.0
1961-04-25,1961.0,Provoked,AUSTRALIA,New South Wales,"Trial Bay, north of Kempsey",Spearfishing,M,Speared shark bit Davy's ankle &  Pierpont's right leg  PROVOKED INCIDENT,N,"WOBBEGONG SHARK, 1.4 M [4'6]",28.0
1961-01-06,1961.0,Sea Disaster,ATLANTIC OCEAN,9.35N 79.35W,"East of La Grande Island, North of Panama Canal",Pacific Seafarer of US Navy,M,"3 were lost, 3 survived",Y,UNKNOW,28.0
1960-11-06,1960.0,Unprovoked,AUSTRALIA,Western Australia,Hamelin Bay,"Spearfishing, speared fish retreated to cave where shark grabbed his arm",M,Scratches on right upper arm,N,"WOBBEGONG SHARK, 1.8 M [6']",24.0
1960-07-03,1960.0,Provoked,USA,Virginia,Hog Island,"Fishing, tossing netted shark onboard",M,Right arm bitten  PROVOKED INCIDENT,N,SAND SHARK,41.0
1960-04-12,1960.0,Unprovoked,AUSTRALIA,New South Wales,"Horseshoe Bay, near Kempsey",Surfing,M,Right arm & side bruised,N,"WHITE SHARK, 3.7 M [12']",17.0
1959-11-10,1959.0,Unprovoked,USA,California,"Near Paradise Cove, Malibu, Los Angeles County",Swimming at surface through school of feeding 2.5' to 5’ sharks,M,Forearm bitten,N,"BLUE SHARK, 1.5 M [5']",21.0
1959-08-13,1959.0,Provoked,USA,California,"LaJolla, San Diego County","Spearfishing with Joe Turner (24). Shark attracted to speared halibut on belt of one diver, tried to bite Ide’s speargun & he shot it in the mouth",M,"No injury, PROVOKED INCIDENT",N,"HAMMERHEAD SHARK, 9'",32.0
1959-01-31,1959.0,Unprovoked,AUSTRALIA,Western Australia,South Perth,Working prawn net,M,Shark’s tail grazed his shin,N,"GREY NURSE SHARK, 1.8 M [6']",20.0
1958-11-07,1958.0,Unprovoked,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","M'Buke, south of Manus Island",Spearfishing,M,"FATAL, left arm & leg severed",Y,UNKNOW,28.0
1957-12-31,1957.0,Unprovoked,AUSTRALIA,South Australia,"Port Hughes, 100 miles from Adelaide in Spencer Gulf",Spearfishing,M,No injury. Shark grabbed fish attached to his belt & towed him seaward.,N,UNKNOW,28.0
1957-01-01,1957.0,Unprovoked,IRAN,Karun River,"near Band Misan in Shustar, 420 km from the sea",Surfing,M,Survived,N,BULL SHARK,28.0
1956-08-15,1956.0,Unprovoked,USA,California,"Pismo Beach, San Luis Obispo County",Swimming near pier,M,"Lacerated thigh, hand & shoulder",N,"WHITE SHARK, 2.7 M [9']",10.0
1956-07-26,1956.0,Provoked,USA,California,"Van Ness Municipal Pier, San Francisco",Fishing,M,Finger bitten by hooked shark PROVOKED INCIDENT,N,8-LB SHARK,38.0
1956-06-22,1956.0,Watercraft,PORTUGAL,Madeira,Off Funchal,Longling fishing,M,"FATAL. Shark sank fishing boat, causing death by drowning",Y,UNKNOW,23.0
1956-01-01,1956.0,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,"Kimuta, Renard Island",Surfing,M,"Non-fatal, treated at Misima Hospital",N,UNKNOW,28.0
1955-09-04,1955.0,Unprovoked,USA,California,"Venice Beach, Los Angeles County",Swimming near breakwater,M,Dorsum of right foot lacerated,N,UNKNOW,16.0
1955-04-13,1955.0,Unprovoked,PAPUA NEW GUINEA,Central Province,"Hadrian’s (Haidana?) Island, near Port Moresby",Spearfishing or fishing,M,Left shoulder bitten,N,6' SHARK,28.0
1954-07-28,1954.0,Unprovoked,SINGAPORE,Unknow,Singapore Harbor,Closed circuit diving (submerged). Diving to recover jettisoned packets of opium for police,M,"FATAL, abdomen, buttock, right thigh & hands bitten",Y,UNKNOW,28.0
1954-07-02,1954.0,Unprovoked,GREECE,Unknow,Kalamata,Swimming,M,FATAL,Y,UNKNOW,28.0
1954-01-01,1954.0,Unprovoked,IRAN,Karun River,"Hesamabad area of Shushtar, 420 km from the sea",Surfing,M,FATAL,Y,BULL SHARK SUSPECTED DUE TO FRESHWATER HABITAT,28.0
1951-12-06,1951.0,Unprovoked,AUSTRALIA,New South Wales,"Merewether Beach, Newcastle",Treading water,M,FATAL,Y,2.4 M [8']  SHARK,21.0
1951-11-23,1951.0,Unprovoked,PHILIPPINES,Unknow,Unknow,Shipwrecked; adrift on raft for 2 days & 2 nights,M,"FATAL, two men survived, one succumbed to shark bite & exhaustion",Y,UNKNOW,28.0
1949-08-28,1949.0,Unprovoked,AUSTRALIA,Queensland,Yorkey’s Knob Beach near Cairns,Swimming,M,Abdomen & chest abraded,N,UNKNOW,21.0
1949-04-17,1949.0,Unprovoked,AUSTRALIA,Queensland,"Ellis Beach, 20 miles from Cairns",Bathing in water 0.9 m deep,M,"FATAL, left leg severed",Y,3.3 M [10'9] SHARK,13.0
1949-01-01,1949.0,Unprovoked,NEW GUINEA,Calvados Archipelago,"Sabara Island, Calvados Chain 11.4S, 153E",Surfing,M,FATAL,Y,UNKNOW,28.0
1948-12-14,1948.0,Unprovoked,IRAN,Shat-Al-Arab River,Abadan,Surfing,M,Left thumb severed,N,UNKNOW,19.0
1942-06-11,1942.0,Sea Disaster,BAY OF BENGAL,Unknow,Unknow,A 210-ton brig was sunk by a Japanese submarine. Some of the survivors were machine-gunned & some were taken by sharks,M,FATAL,Y,UNKNOW,28.0
1942-01-01,1942.0,Sea Disaster,INDONESIA,East Java,Surabaya,Captured Allied soldiers were squeezed into 3' bamboo pig baskets & fed to waiting sharks,M,"General Imamura, Commander in Chief of Japanese forces in Java was sentenced to 10 years imprisonment by Australian Military Court for his role in the Pig Basket Atrocities",Y,UNKNOW,28.0
1942-01-01,1942.0,Sea Disaster,SOUTHWEST PACIFIC OCEAN,Unknow,Unknow,Ditched plane in the sea & were adrift on a rubber life raft.,M,"No injury to occupants, They fought off sharks & killed one with an automatic. Rescued 34 days later",N,"SAID TO BE “LEOPARD SHARKS”, MORE PROBABLY TIGER SHARKS",28.0
1939-08-01,1939.0,Provoked,USA,California,"Off San Pedro, Los Angeles County",Fishing,M,Harpooned shark bit his arm PROVOKED INCIDENT,N,UNKNOW,33.0
1936-01-01,1936.0,Unprovoked,AUSTRALIA,Victoria,"Port Phillip Bay, Port Melbourne",Swimming,M,FATAL,Y,UNKNOW,28.0
1935-07-01,1935.0,Unprovoked,CROATIA,Adriatic Sea,"Susak / Fiume (Rijeka, Istria)",Swimming,F,FATAL,Y,UNKNOW,22.0
1935-01-21,1935.0,Invalid,ISRAEL,Herzliyah,Sidny Ali,Surfing,M,human remains washed ahore,UNKNOWN,SHARK INVOLVEMENT PRIOR TO DEATH UNCONFIRMED,28.0
1932-07-02,1932.0,Watercraft,CANADA,Bay of Fundy,16 km west of Digby Gut,"Fishing, hauling in fishing gear",M,"No injury to occupants, shark bumped boat repeatedly",N,TEETH IN HULL IDENTIFIED AS THOSE FROM A WHITE SHARK 4.6 M [15'] IN LENGTH,28.0
1931-03-06,1931.0,Provoked,AUSTRALIA,South Australia,Encounter Bay,"Fishing, hauling in net, shark in net",M,"Finger lacerated, PROVOKED INCIDENT",N,1.8 M [6'] COCKTAIL SHARK,28.0
1930-02-15,1930.0,Unprovoked,AUSTRALIA,Victoria,"Middle Brighton, Port Phillip",Diving off pier & treading water,M,FATAL,Y,WHITE SHARK 4.9 M [16'],18.0
1929-05-31,1929.0,Unprovoked,AUSTRALIA,Torres Strait,Unknow,Pearl diving,M,"Injuries to both legs, buttocks, back, lower abdomen & chest",N,UNKNOW,28.0
1926-10-23,1926.0,Unprovoked,AUSTRALIA,New South Wales,Clarence River,Bathing,M,3 laceration to leg,N,"GREY NURSE SHARK, 4'",17.0
1924-10-31,1924.0,Provoked,FRENCH POLYNESIA,Tuamotus,Rangiroa,Pearl diving,M,Abrasions PROVOKED ATTACK,N,UNKNOW,28.0
1924-10-18,1924.0,Unprovoked,AUSTRALIA,Victoria,Port Melbourne,Bathing,M,Leg bitten,N,10' SHARK,28.0
1923-08-08,1923.0,Unprovoked,GUYANA,Demerara County,Off the Demerara River,Fishing,M,Puncture wounds to left leg,N,UNKNOW,28.0
1922-03-02,1922.0,Unprovoked,AUSTRALIA,New South Wales,Coogee,Bathing in knee-deep water,M,"FATAL, right hand severed, lacerations on left thigh & left hand, died in hospital of gas gangrene",Y,"WHITE SHARK, 2.4 M [8']",21.0
1917-11-01,1917.0,Unprovoked,MOZAMBIQUE,Maputo Province,Off Inhaca Island,Wreck of the tug Magellan,M,FATAL,Y,UNKNOW,28.0
1912-07-06,1912.0,Unprovoked,SOLOMON ISLANDS,Central Province,Savo,Bathing,M,FATAL,Y,UNKNOW,28.0
1910-11-24,1910.0,Unprovoked,AUSTRALIA,Queensland,Mackay,Bathing,M,Foot bitten,N,SAID TO INVOLVE  9' BLUE SHARK,28.0
1909-11-26,1909.0,Unprovoked,USA,Florida,"16 miles north of Fort Pierce Inlet, Indian River County",Surfing,M,Severe lacerations to arm,N,UNKNOW,28.0
1909-06-26,1909.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Cape Town,Surfing,M,Remains of soldier in uniform. Probable drowning & scavenging,Y,18-FOOT SHARK,28.0
1908-07-18,1908.0,Invalid,SPAIN,Canary Islands,"Tazacorte, La Palma",Surfing,M,Human remains recovered but shark involvement prior to death unconfirmed,UNKNOWN,QUESTIONABLE,28.0
1907-09-19,1907.0,Invalid,ENGLAND,English Channel,Unknow,Swimming,M,"Struck across loins but no injury. According to witnesses, incident involved a bottlenose dolphin.",UNKNOWN,QUESTIONABLE,28.0
1907-02-05,1907.0,Unprovoked,NEW ZEALAND,South Island,Port Moeraki,Standing,M,"FATAL, leg severely bitten",Y,UNKNOW,55.0
1906-04-14,1906.0,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Diving for beche-de-mer,M,FATAL,Y,UNKNOW,17.0
1906-01-20,1906.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Battery Beach, Durban",Washing horses,M,"FATAL, hips & thigh bitten",Y,1.8 M TO 2.7 M [6' TO 9'] SHARK,30.0
1898-07-01,1898.0,Unprovoked,CUBA,Santiago de Cuba Province,Santiago de Cuba,Swimming,M,FATAL,Y,UNKNOW,28.0
1897-09-17,1897.0,Provoked,USA,Rhode Island,Point Judith,Fishing,M,Lacerations to hand by netted shark PROVOKED INCIDENT,N,13'10 SHARK,28.0
1891-06-11,1891.0,Invalid,USA,Virginia,Hampton Roads,Fishing for sharks when he became entangled in net & fell overboard,M,"Fatal, but death may have been due to drowning",UNKNOWN,SHARK INVOLVEMENT PRIOR TO DEATH UNCONFIRMED,28.0
1886-06-17,1886.0,Unprovoked,AUSTRALIA,Queensland,Off Bribie Heads,Swimming after being washed overboard,M,FATAL,Y,UNKNOW,18.0
1886-06-02,1886.0,Invalid,USA,Hawaii,"Hamakua Homakua, Hawai'i","Fishing from shore, washed into the sea",F,"The body of one woman had been bitten by a shark but it is not known if she was alive at the time, the other woman disappeared",UNKNOWN,SHARK INVOLVEMENT PRIOR TO DEATH UNCONFIRMED,28.0
1883-01-21,1883.0,Unprovoked,AUSTRALIA,New South Wales,"Iron Cove, Sydney",Bathing,M,FATAL,Y,UNKNOW,37.0
1878-08-08,1878.0,Unprovoked,USA,New York,Brooklyn,Swimming,M,FATAL,Y,UNKNOW,14.0
1864-08-12,1864.0,Unprovoked,USA,New York,Mahattan,Swimming,M,Left thigh severely bitten,N,UNKNOW,13.0
1864-05-01,1864.0,Unprovoked,MAURITIUS,300 miles east of Mauritius,Unknow,Fell overboard,M,FATAL,Y,UNKNOW,28.0
1863-01-01,1863.0,Unprovoked,CEYLON,Unknow,Unknow,Fell overboard,M,FATAL,Y,UNKNOW,28.0
1863-01-01,1863.0,Unprovoked,GREECE,Corfu,Unknow,Swimming,M,FATAL,Y,UNKNOW,28.0
1861-11-10,1861.0,Unprovoked,SINGAPORE,Unknow,Unknow,Bathing alongside the American ship Thomas W. Sears,M,FATAL,Y,UNKNOW,28.0
1860-12-26,1860.0,Unprovoked,AUSTRALIA,New South Wales,"The Domain, Sydney",Bathing,M,Lacerations to leg,N,UNKNOW,28.0
1851-06-16,1851.0,Unprovoked,MEXICO,Oaxaca,Tehuantepec Harbor,Bathing,M,FATAL,Y,UNKNOW,28.0
1850-01-01,1850.0,Unprovoked,NICARAGUA,Lake Nicaragua (fresh water),"Granada, Granada Department",Bathing,M,FATAL,Y,UNKNOW,28.0
1849-06-08,1849.0,Unprovoked,USA,Florida,"Pensacola, Escambia County",Attempting to rescue woman seized by shark,M,FATAL,Y,UNKNOW,28.0
1842-07-06,1842.0,Provoked,USA,New Jersey,"Absecon, Atlantic County",Harassing a shark,M,Lacerations to leg  PROVOKED INCIDENT,N,UNKNOW,28.0
2022-09-03,2022.0,Unprovoked,USA,Hawaii,"Lower Paia Beach Park, Maui",Swimming  or Snorkeling,F,Injuries to left arm and right hand,N,UNKNOW,51.0
2022-07-03,2022.0,Unprovoked,USA,New York,"Smith Point Beach, Suffolk County",Lifeguard Exercises,M,Injuries to chest and right hand,N,5'SHARK,28.0
2022-03-15,2022.0,Unprovoked,NEW ZEALAND,South Island,Cobden,Surfing,M,"No injury, shark leapt on surfboard",N,UNKNOW,28.0
2022-02-21,2022.0,?,BAHAMAS,Grand  Bahama Island,Tiger Beach,Diving,M,Arm bitten,N,UNKNOW,51.0
2021-09-03,2021.0,Unprovoked,British Overseas Territory,Turks and Caicos,Unknow,Surfing,M,Wrist bitten,N,UNKNOW,28.0
2021-01-07,2021.0,Unprovoked,NEW ZEALAND,North Island,"Waihī  Beach, Bay of Plenty",Swimming,F,FATAL,Y,UNKNOW,19.0
2020-12-06,2020.0,Unprovoked,USA,Oregon,"Seaside Cove, Clatsop County",Surfing,M,Non-life-threatening to left lower leg & foot,N,UNKNOW,20.0
2020-11-02,2020.0,Unprovoked,AUSTRALIA,New South Wales,"Town Beach, Port Macquarie",Surfing,M,"Minor injury to left foot, leg and finger",N,UNKNOW,13.0
2020-08-22,2020.0,Unprovoked,USA,Florida,"St. Augustine Beach, Anastasia Island, St. Johns County",Surfing,M,Lacerations to sole of left foot,N,4' TO 5' SHARK,14.0
2020-07-11,2020.0,Unprovoked,AUSTRALIA,New South Wales,Wilsons Headland,Surfing,M,FATAL,Y,"WHITE SHARK, 2.5 M",15.0
2020-06-20,2020.0,Unprovoked,USA,North Carolina,"Salvo, Dare County",Body Surfing,M,Injury to thigh,N,UNKNOW,16.0
2020-04-06,2020.0,Unprovoked,AUSTRALIA,New South Wales,Wamberal Beach,Surfing,M,Right hand bitten,N,6' SHARK,38.0
2020-01-17,2020.0,Unprovoked,AUSTRALIA,New South Wales,Windang Beach,Surfing,M,Laceration ot left ankle and foot,N,A SMALL SHARK,59.0
2019-05-14,2019.0,Unprovoked,USA,Hawaii,"Browns, Oahu",Surfing,M,"No injury, knocked of board by shark",N,8' SHARK,28.0
2018-09-19,2018.0,Unprovoked,JAMAICA,St. Marys Parish,James Bond Beach,Spearfishing,M,FATAL,Y,UNKNOW,43.0
2018-08-15,2018.0,Questionable,USA,Maryland,"Rhode River, Chesapeake Bay",Surfing,M,Scratches to calf,N,UNKNOW,28.0
2018-06-18,2018.0,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",Standing,F,Minor injury to left thigh,N,UNKNOW,11.0
2018-05-24,2018.0,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,Feeding sharks,M,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,GREY REEF SHARK,32.0
2018-04-14,2018.0,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,Surfing,M,No Injury. Shark swam away with the surf board,N,TIGER SHARK,28.0
2018-03-14,2018.0,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,Wading,M,Minor injuries to legs,N,WOBBEGONG SHARK,10.0
2018-01-17,2018.0,Unprovoked,FRENCH POLYNESIA,Unknow,"Makemo atoll,",Surfing,M,Superficial bite to right thigh and left knee.,N,"SICKLEFIN LEMON SHARK,",45.0
2017-11-02,2017.0,Unprovoked,USA,Hawaii,Makaha,Surfing,M,Minor cuts to lower left leg,N,UNKNOW,20.0
2017-07-22,2017.0,Unprovoked,USA,Florida,"Snipes Point, Monroe County",Surfing,F,Foot bitten,N,A SMALL SHARK,40.0
2017-04-22,2017.0,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Snorkeling,F,Calf & foot bitten,N,UNKNOW,40.0
2017-04-10,2017.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Paddle boarding,F,Laceration to calf,N,UNKNOW,10.0
2017-04-06,2017.0,Unprovoked,USA,Florida,"Daytona, Volusia County",Swimming,M,Foot injured,N,UNKNOW,16.0
2016-09-11,2016.0,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,Minor injury to arm,N,3' TO 4' SHARK,60.0
2016-07-07,2016.0,Watercraft,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing,M,"No injury. Hull bitten, tooth fragment recovered",N,WHITE SHARK,28.0
2016-05-21,2016.0,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,"Back, arm & hand injured",N,UNKNOW,11.0
2016-05-01,2016.0,Unprovoked,USA,Louisiana,Unknow,Wading,F,Minor injury to left foot,N,"BLACKTIP SHARK, JUVENILE",33.0
2016-03-02,2016.0,Unprovoked,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú,Swimming,M,Minor injury to head,N,SANDTIGER SHARK,41.0
2016-01-28,2016.0,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,Lacerations to both hands,N,"REEF SHARK, 5'",28.0
2015-10-28,2015.0,Unprovoked,USA,Hawaii,"Malaka, Oahu",Body boarding,M,"Lacerations & puncture wounds to right thigh, calf & ankle",N,UNKNOW,10.0
2015-08-29,2015.0,Unprovoked,USA,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,F,"No injury, surfboard bitten",N,"WHITE SHARK, 11' TO 12'",54.0
2015-08-29,2015.0,Unprovoked,USA,California,"Morro Bay, San Luis Obispo County",Surfing,M,"No injury, shark struk sufer's leg and his board",N,"WHITE SHARK, 10' TO 12'",21.0
2015-08-18,2015.0,Watercraft,USA,California,Santa Barbara County,Kayak Fishing,M,"No injury, kayak bitten",N,"WHITE SHARK, 13'",22.0
2015-05-09,2015.0,Unprovoked,NEW CALEDONIA,Unknow,Kouare,Snorkeling,M,FATAL,Y,"BULL SHARK, 3.5 M",50.0
2014-08-16,2014.0,Unprovoked,AUSTRALIA,Western Australia,Gnaraloo,Spearfishing,M,Lacerations to face and neck,N,REEF SHARK,31.0
2014-08-01,2014.0,Invalid,Unknow,Unknow,Unknow,Sea disaster,M,Shark involvement prior to death not confirmed,UNKNOWN,SHARK INVOLVEMENT NOT CONFIRMED,28.0
2014-07-09,2014.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Lacerations to foot,N,UNKNOW,14.0
2014-05-11,2014.0,Unprovoked,USA,Georgia,"Tybee Island, Chatham County",Surfing,M,Puncture wounds to right thigh,N,SHARK INVOLVEMENT NOT CONFIRMED,12.0
2014-03-18,2014.0,Unprovoked,NEW CALEDONIA,Baie de Sainte-Marie,Unknow,Kite Surfing,M,Lacerations to calf,N,UNKNOW,42.0
2013-11-29,2013.0,Unprovoked,USA,Hawaii,"Keawekapu Beach, Kihei, Maui",Snorkeling,F,Right calf bitten,N,UNKNOW,58.0
2013-10-28,2013.0,Unprovoked,AUSTRALIA,Western Australia,Turquoise Bay,Snorkeling,F,Lacerations to right arm,N,"BLACKTIP REEF SHARK, 1M",60.0
2013-10-23,2013.0,Unprovoked,USA,Hawaii,"Waiehu, Maui",Diving,M,3 laceration to left hip,N,"WHITETIP REEF SHARK, 4' TO 6'",45.0
2013-04-28,2013.0,Provoked,AUSTRALIA,New South Wales,Emerald Beach,Fishing,M,Foot bitten by landed shark PROVOKED INCIDENT,N,"WOBBEGONG, 2M",28.0
2012-11-04,2012.0,Unprovoked,USA,Hawaii,"Davidson's Surf Break, Kekaha, Kaua'i",Surfing,M,"No injury, surfboard bitten",N,"TIGER SHARK, 8'",43.0
2012-08-04,2012.0,Unprovoked,FRENCH POLYNESIA,Tuamotus,Kaukura Atoll,Spearfishing,M,Shoulder bitten,N,"LEMON SHARK, 2.5M TO 3M",28.0
2012-07-14,2012.0,Unprovoked,AUSTRALIA,Western Australia,Off Wedge Island,Surfing,M,FATAL,Y,"WHITE SHARK, 5M",24.0
2012-06-22,2012.0,Unprovoked,USA,Florida,"Bathtub Reef  Beach, Stuart, Martin County",Swimming,M,Minor injury,N,UNKNOW,12.0
2012-06-14,2012.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,Laceration to right foot,N,BLACKTIP SHARK,16.0
2012-04-03,2012.0,Unprovoked,USA,Hawaii,"Leftovers near Chun's Reef, Oahu",Surfing,M,Lacerations to left foot,N,"TIGER SHARK, 10'",28.0
2012-01-19,2012.0,Unprovoked,AUSTRALIA,Western Australia,Coral Bay,Snorkeling,M,Lacerations to right forearm,N,"TIGER SHARK, 3M",26.0
2011-11-20,2011.0,Unprovoked,PAPUA NEW GUINEA,East New Britain,Pigeon Island,Scuba diving,M,"No injury, shark collided with diver",N,UNKNOW,28.0
2011-09-04,2011.0,Unprovoked,USA,Hawaii,"Nimitz State Beach, Oahu",Surfing,M,"No injury, shark bit surfboard",N,UNKNOW,28.0
2011-08-24,2011.0,Unprovoked,USA,North Carolina,"Buxton Beach, Dare County",Surfing,M,Lacerations to foot,N,UNKNOW,21.0
2011-08-24,2011.0,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,Surfing,M,Heel bitten,N,UNKNOW,10.0
2011-07-13,2011.0,Unprovoked,BAHAMAS,Grand Bahama Island,Off Lucaya,Scuba diving,M,Injuries to arm,N,UNKNOW,54.0
2010-10-23,2010.0,Unprovoked,USA,Maine,"Burnt Cove near Eastport, Washington County",Scuba diving,M,"No injury to diver, shark bit his video camera",N,"PORBEAGLE SHARK, 8'",30.0
2010-10-02,2010.0,Unprovoked,BAHAMAS,Abaco Islands,Elbow Cay,Surfing,F,Bitten between left ankle & knee,N,POSSIBLY A 6' LEMON SHARK,28.0
2010-07-11,2010.0,Provoked,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Fishing,M,Small laceration to forearm from netted shark  PROVOKED INCIDENT,N,"NURSE SHARK, JUVENILE",28.0
2010-01-27,2010.0,Unprovoked,AUSTRALIA,Queensland,Archie's Beach,Surfing,M,"No injury, surfboard bitten",N,UNKNOW,28.0
2010-01-09,2010.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Surfing,F,Minor injuries,N,UNKNOW,28.0
2010-01-06,2010.0,Unprovoked,USA,Florida,Elliot Key,Spearfishing,M,Lacerations to  arm,N,UNKNOW,32.0
2009-05-12,2009.0,Provoked,GUAM,North Region,Ritidian Point,Spearfishing,M,Speared shark bit his forearm PROVOKED INCIDENT,N,"BLACKTIP SHARK, 4'",27.0
2008-01-14,2008.0,Watercraft,NEW ZEALAND,North Island,Omaha Beach,Attempting to chase shark out to sea,M,"No injury to occupants, pontoon punctured",N,"BRONZE WHALER SHARK, 4M",28.0
2007-09-20,2007.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Small lacerations to bottom of right big toe,N,3' SHARK,23.0
2007-09-13,2007.0,Unprovoked,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Snorkeling,M,"Minor injury, shark latched onto his abdomen",N,"NURSE SHARK, 2' TO 3'",14.0
2006-08-20,2006.0,Unprovoked,REUNION,Saint-Pierre,Pointe du Diable,Surfing,M,FATAL,Y,UNKNOW,34.0
2006-07-08,2006.0,Unprovoked,USA,South Carolina,"Debordieu Beach, Georgetown County",Body boarding,F,Foot bitten,N,5' TO 6' SPINNER OR BULL SHARK,14.0
2006-06-15,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Four 1-inch puncture wounds on left foot,N,2' TO 3' SHARK,24.0
2006-04-13,2006.0,Provoked,USA,Florida,"Port of the Islands, Collier County",Fishing,M,3 to 4 cm laceration on foot from hooked shark brought on board PROVOKED INCIDENT,N,"BULL SHARK, 4' TO BULL SHARK",35.0
2006-01-04,2006.0,Unprovoked,USA,Florida,"Round Island Park, Indian River County",Surfing,M,3 puncture wounds in right wrist & hand,N,4' SHARK,21.0
2005-11-15,2005.0,Provoked,SOUTH AFRICA,Eastern Cape Province,Aston Bay,Fishing for sharks,M,Lacerations to hands & right leg when he tried to pull shark from the water PROVOKED INCIDENT,N,"RAGGEDTOOTH SHARK, 2.5M",32.0
2005-11-12,2005.0,Unprovoked,USA,Florida,"New Smyrna  Beach, Volusia County",Surfing,M,Puncture wounds to right foot,N,6' SHARK,18.0
2005-10-06,2005.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Treading water/ Surfing,M,Five 1-inch lacerations to left foot,N,UNKNOW,48.0
